number of commands per 100 mm (v = 20),1500 mm/s/s,1000 mm/s/s,800 mm/s/s,600 mm/s/s,400 mm/s/s,200 mm/s/s
0,5.01333333333333,5.02000000000000,5.02500000000000,5.03333333333333,5.05000000000000,5.10000000000000
10,5.13333333333333,5.20000000000000,5.25000000000000,5.33333333333333,5.50000000000000,6.00000000000000
20,5.26666666666667,5.40000000000000,5.50000000000000,5.66666666666667,6.00000000000000,7.00000000000000
30,5.40000000000000,5.60000000000000,5.75000000000000,6.00000000000000,6.50000000000000,8.00000000000000
40,5.53333333333333,5.80000000000000,6.00000000000000,6.33333333333333,7.00000000000000,9.00000000000000
50,5.66666666666667,6.00000000000000,6.25000000000000,6.66666666666667,7.50000000000000,10.0000000000000
60,5.80000000000000,6.20000000000000,6.50000000000000,7.00000000000000,8.00000000000000,10.9544511501033
70,5.93333333333333,6.40000000000000,6.75000000000000,7.33333333333333,8.50000000000000,11.8321595661992
80,6.06666666666667,6.60000000000000,7.00000000000000,7.66666666666667,9.00000000000000,12.6491106406735
90,6.20000000000000,6.80000000000000,7.25000000000000,8.00000000000000,9.50000000000000,13.4164078649987
100,6.33333333333333,7.00000000000000,7.50000000000000,8.33333333333333,10.0000000000000,14.1421356237310
110,6.46666666666667,7.20000000000000,7.75000000000000,8.66666666666667,10.4880884817015,14.8323969741913
120,6.60000000000000,7.40000000000000,8.00000000000000,9.00000000000000,10.9544511501033,15.4919333848297
130,6.73333333333333,7.60000000000000,8.25000000000000,9.33333333333333,11.4017542509914,16.1245154965971
140,6.86666666666667,7.80000000000000,8.50000000000000,9.66666666666667,11.8321595661992,16.7332005306815
150,7.00000000000000,8.00000000000000,8.75000000000000,10.0000000000000,12.2474487139159,17.3205080756888
160,7.13333333333333,8.20000000000000,9.00000000000000,10.3279555898864,12.6491106406735,17.8885438199983
170,7.26666666666667,8.40000000000000,9.25000000000000,10.6458129484475,13.0384048104053,18.4390889145858
180,7.40000000000000,8.60000000000000,9.50000000000000,10.9544511501033,13.4164078649987,18.9736659610103
190,7.53333333333333,8.80000000000000,9.75000000000000,11.2546286774228,13.7840487520902,19.4935886896179
200,7.66666666666667,9.00000000000000,10.0000000000000,11.5470053837925,14.1421356237310,20.0000000000000
210,7.80000000000000,9.20000000000000,10.2469507659596,11.8321595661992,14.4913767461894,20.4939015319192
220,7.93333333333333,9.40000000000000,10.4880884817015,12.1106014163900,14.8323969741913,20.9761769634030
230,8.06666666666667,9.60000000000000,10.7238052947636,12.3827837473378,15.1657508881031,21.4476105895272
240,8.20000000000000,9.80000000000000,10.9544511501033,12.6491106406735,15.4919333848297,21.9089023002066
250,8.33333333333334,10.0000000000000,11.1803398874989,12.9099444873581,15.8113883008419,22.3606797749979
260,8.46666666666667,10.1980390271856,11.4017542509914,13.1656117720877,16.1245154965971,22.8035085019828
270,8.60000000000000,10.3923048454133,11.6189500386223,13.4164078649987,16.4316767251550,23.2379000772445
280,8.73333333333333,10.5830052442584,11.8321595661992,13.6626010212795,16.7332005306815,23.6643191323985
290,8.86666666666667,10.7703296142690,12.0415945787923,13.9044357430761,17.0293863659264,24.0831891575846
300,9.00000000000000,10.9544511501033,12.2474487139159,14.1421356237310,17.3205080756888,24.4948974278318
310,9.13333333333333,11.1355287256600,12.4498995979887,14.3759057685652,17.6068168616590,24.8997991959775
320,9.26666666666667,11.3137084989848,12.6491106406735,14.6059348668044,17.8885438199983,25.2982212813470
330,9.40000000000000,11.4891252930761,12.8452325786651,14.8323969741913,18.1659021245849,25.6904651573303
340,9.53333333333333,11.6619037896906,13.0384048104053,15.0554530541816,18.4390889145858,26.0768096208106
350,9.66666666666667,11.8321595661992,13.2287565553230,15.2752523165195,18.7082869338697,26.4575131106459
360,9.80000000000000,12.0000000000000,13.4164078649987,15.4919333848297,18.9736659610103,26.8328157299975
370,9.93333333333334,12.1655250605964,13.6014705087354,15.7056253191863,19.2353840616713,27.2029410174709
380,10.0664459136943,12.3288280059380,13.7840487520902,15.9164485150844,19.4935886896179,27.5680975041804
390,10.1980390271856,12.4899959967968,13.9642400437689,16.1245154965971,19.7484176581315,27.9284800875379
400,10.3279555898864,12.6491106406735,14.1421356237310,16.3299316185545,20.0000000000000,28.2842712474619
410,10.4562580942387,12.8062484748657,14.3178210632764,16.5327956901830,20.2484567313166,28.6356421265527
420,10.5830052442584,12.9614813968157,14.4913767461894,16.7332005306815,20.4939015319192,28.9827534923789
430,10.7082522694727,13.1148770486040,14.6628782986152,16.9312334656004,20.7364413533277,29.3257565972304
440,10.8320512061813,13.2664991614216,14.8323969741913,17.1269767715535,20.9761769634030,29.6647939483827
450,10.9544511501033,13.4164078649987,15.0000000000000,17.3205080756888,21.2132034355964,30.0000000000000
460,11.0754984838908,13.5646599662505,15.1657508881031,17.5119007154183,21.4476105895272,30.3315017762062
470,11.1952370824978,13.7113092008021,15.3297097167559,17.7012240631357,21.6794833886788,30.6594194335118
480,11.3137084989848,13.8564064605510,15.4919333848297,17.8885438199983,21.9089023002066,30.9838667696593
490,11.4309521329882,14.0000000000000,15.6524758424985,18.0739222823013,22.1359436211787,31.3049516849971
500,11.5470053837925,14.1421356237310,15.8113883008419,18.2574185835055,22.3606797749979,31.6227766016838
510,11.6619037896906,14.2828568570857,15.9687194226713,18.4390889145858,22.5831795812724,31.9374388453426
520,11.7756811551038,14.4222051018560,16.1245154965971,18.6189867250253,22.8035085019828,32.2490309931942
530,11.8883696667513,14.5602197785610,16.2788205960997,18.7971629064956,23.0217288664427,32.5576411921994
540,12.0000000000000,14.6969384566991,16.4316767251550,18.9736659610103,23.2379000772445,32.8633534503100
550,12.1106014163900,14.8323969741913,16.5831239517770,19.1485421551268,23.4520787991171,33.1662479035540
560,12.2202018532156,14.9666295470958,16.7332005306815,19.3218356615859,23.6643191323985,33.4664010613630
570,12.3288280059380,15.0996688705415,16.8819430161341,19.4935886896179,23.8746727726266,33.7638860322683
580,12.4365054041184,15.2315462117278,17.0293863659264,19.6638416050035,24.0831891575846,34.0587727318528
590,12.5432584814845,15.3622914957372,17.1755640373177,19.8326330408580,24.2899156029822,34.3511280746353
600,12.6491106406735,15.4919333848297,17.3205080756888,20.0000000000000,24.4948974278318,34.6410161513775
610,12.7540843131393,15.6204993518133,17.4642491965730,20.1659779496722,24.6981780704569,34.9284983931460
620,12.8582010146573,15.7480157480236,17.6068168616590,20.3306009093025,24.8997991959775,35.2136337233180
630,12.9614813968157,15.8745078663875,17.7482393492988,20.4939015319192,25.0998007960223,35.4964786985977
640,13.0639452948436,16.0000000000000,17.8885438199983,20.6559111797729,25.2982212813470,35.7770876399966
650,13.1656117720877,16.1245154965971,18.0277563773199,20.8166599946613,25.4950975679639,36.0555127546399
660,13.2664991614216,16.2480768092719,18.1659021245849,20.9761769634030,25.6904651573303,36.3318042491699
670,13.3666251038423,16.3707055437449,18.3030052177231,21.1344899788631,25.8843582110896,36.6060104354463
680,13.4660065844828,16.4924225024706,18.4390889145858,21.2916258968951,26.0768096208106,36.8781778291715
690,13.5646599662505,16.6132477258361,18.5741756210067,21.4476105895272,26.2678510731274,37.1483512420134
700,13.6626010212795,16.7332005306815,18.7082869338697,21.6024689946929,26.4575131106459,37.4165738677394
710,13.7598449603669,16.8522995463527,18.8414436814168,21.7562251627743,26.6458251889485,37.6828873628335
720,13.8564064605510,16.9705627484771,18.9736659610103,21.9089023002066,26.8328157299975,37.9473319220206
730,13.9522996909709,17.0880074906351,19.1049731745428,22.0605228103657,27.0185121722126,38.2099463490856
740,14.0475383371370,17.2046505340853,19.2353840616713,22.2111083319436,27.2029410174709,38.4707681233427
750,14.1421356237309,17.3205080756888,19.3649167310371,22.3606797749979,27.3861278752583,38.7298334620742
760,14.2361043360417,17.4355957741627,19.4935886896179,22.5092573548455,27.5680975041804,38.9871773792359
770,14.3294568401365,17.5499287747842,19.6214168703486,22.6568606239552,27.7488738510232,39.2428337406972
780,14.4222051018560,17.6635217326557,19.7484176581315,22.8035085019828,27.9284800875379,39.4968353162630
790,14.5143607047182,17.7763888346312,19.8746069143518,22.9492193040780,28.1069386451104,39.7492138287036
800,14.6059348668044,17.8885438199983,20.0000000000000,23.0940107675850,28.2842712474619,40.0000000000000
810,14.6969384566991,18.0000000000000,20.1246117974981,23.2379000772445,28.4604989415154,40.2492235949962
820,14.7873820085459,18.1107702762748,20.2484567313166,23.3809038890002,28.6356421265527,40.4969134626332
830,14.8772757362809,18.2208671582886,20.3715487874634,23.5230383525031,28.8097205817759,40.7430975749267
840,14.9666295470958,18.3303027798234,20.4939015319192,23.6643191323985,28.9827534923789,40.9878030638384
850,15.0554530541816,18.4390889145858,20.6155281280883,23.8047614284762,29.1547594742265,41.2310562561766
860,15.1437555888007,18.5472369909914,20.7364413533277,23.9443799947573,29.3257565972304,41.4728827066554
870,15.2315462117278,18.6547581061776,20.8566536146142,24.0831891575846,29.4957624075053,41.7133072292284
880,15.3188337241014,18.7616630392937,20.9761769634030,24.2212028327799,29.6647939483827,41.9523539268061
890,15.4056266777218,18.8679622641132,21.0950231097290,24.3584345419268,29.8328677803526,42.1900462194580
900,15.4919333848297,18.9736659610103,21.2132034355964,24.4948974278318,30.0000000000000,42.4264068711929
910,15.5777619273972,19.0787840283389,21.3307290077015,24.6306042692149,30.1662062579967,42.6614580154031
920,15.6631201659610,19.1833260932509,21.4476105895272,24.7655674946756,30.3315017762062,42.8952211790544
930,15.7480157480236,19.2873015219859,21.5638586528478,24.8997991959775,30.4959013639538,43.1277173056956
940,15.8324561160506,19.3907194296653,21.6794833886788,25.0333111406915,30.6594194335118,43.3589667773576
950,15.9164485150844,19.4935886896179,21.7944947177034,25.1661147842358,30.8220700148449,43.5889894354067
960,16.0000000000000,19.5959179422654,21.9089023002066,25.2982212813470,30.9838667696593,43.8178046004133
970,16.0831174424198,19.6977156035922,22.0227155455452,25.4296414970142,31.1448230047949,44.0454310910905
980,16.1658075373095,19.7989898732233,22.1359436211787,25.5603860169078,31.3049516849971,44.2718872423573
990,16.2480768092719,19.8997487421324,22.2485954612870,25.6904651573303,31.4642654451045,44.4971909225740
1000,16.3299316185545,20.0000000000000,22.3606797749979,25.8198889747161,31.6227766016838,44.7213595499958
